Valik Palica Oleksandrovich
Затуливітер Адольф Вадимович
Кожанов Броніслав Федірович
Кротенко Клемент Адріанович
Кошулько Аристарх Валерійович
Башмакова Еріка Святославівна
Флоря Марія Тімурівна
Базікало Федот Геннадійович
Шумеляк Кондрат Нісонович
Накул Максим Станіславович
Когутяк Дарина Федотівна
Люльчак Май Миронович
Коденко Аркадій Лазарович
Пітух Віктор Олегович
Ламаш Адам Гаріович
Красноголовець Едуард Юліанович
Сліпенко Арнольд Мойсейович
Матящук Руслан Миронович
Колбун Глафіра Іларіонівна
Васькевич Ясна Васильівна
Солоненко Сергій Платонович
Парафійник Сергій Арсенійович
Георгіу Опанас Памфілович
Лемещенко Інокентій Вікторович
Якубенко Борис Тімурович
Ворощук Віллі Рафаїлович
Пєшкова Валерія Гуріївна
Шпанюк Савелій Костянтинович
Новоселецька Одарка Никанорівна
Білас Роксолана Наумівна
Димнич Михайлина Віталіївна
Москівець Сабіна Васильівна
Вишневська Руфіна Митрофанівна
Сірик Валерій Пилипович
Миндра Діана Кирилоівна
Сінькевич Харіта Вілліівна
Бриль Марк Дмитрович
Поспєлов Едуард Володимирович
Латун Мирослав Матвейович
Шапарь Олександра Юліївна
Федорняк Анастасія Вікентіївна
Стефанів Леонард Юлійович
Сластьон Карл Левович
Петрига Діна Мстиславівна
Костиренко Олександра Галактіонівна
Падалко Дональд Ясенович
Бучацька Аріна Іларіонівна
Добуш Світлана Фаддеївна
Мардар Віктор Рубенович
Степанюк Максим Юлійович
Оленченко Гелена Гаріівна
Несторук Агнія Григоріївна
Хижко Марк Ельдарович
Чернікова Француаза Богданівна
Надюк Аріадна Арсеніївна
Сандуляк Никанор Лазарович
Качмарик Лук'ян Рафаїлович
Лаптєва Рената Вікентіївна
Панчук Арнольд Мойсейович
Базильчук Рудольф Ярославович
Зінькова Роксана Вальтерівна
Видайко Сара Архипівна
Скриник Василь Модестович
Козачишин Герман Станіславович
Кметь Марк Васильович
Березяк Фелікс Антонович
Кулаксиз Владислав Давидович
Чух Астра Васильівна
Поважнюк Іраклій Вікторович
Драгальчук Тімур Вікторович
Любашенко Семен Корнилійович
Данько Юрій Арнольдович
Титова Доля Ельдарівна
Шабля Дональд Натанович
Зубатенко Роза Лук'янівна
Костюкович Антон Кирилоович
Олішевська Стела Наумівна
Бебко Ніка Фомівна
Довгалюк Прокофій Арсенійович
Булезюк Адольф Вальтерович
Горбенко Лідія Овідіївна
Харкевич Роман Пилипович
Кацан Модест Георгійович
Шпортко Трохим Рубенович
Бєлікова Вероніка Герасимівна
Бершак Тарас Федірович
Морозюк Мірра Мирославівна
Гонгало Микола Севастіанович
Тарнавський Рудольф Тімурович
Чилій Сергій Германович
Булавенко Юхим Арсенійович
Говоров Фаїна Леонардівна
Луговой Самсон Модестович
Чуян Сабіна Вікторівна
Височан Кирило Омелянович
Бажан Кузьма Артемійович
Аблямітов Роксана Павлівна
Овдієнко Ядвіга Кондратівна
Духняк Овідій Болеславович
Пасіченко Арнольд Єгорович
Куликов Віллі Порфирійович
Вієру Прокофій Федірович
Ганієв Серафіма Борисівна
Райтер Михайло Юрійович
Шмарко Петро Родіонович
Веред Олексій Матвейович
Горох Артемій Микитович
Баран Зіновій Донатович
Букрєєв Глорія Дмитроівна
Миколаєць Савелій Никанорович
Буртова Устінья Мстиславівна
Рихло Тімур Гурійович
Мігалі Назар Романович
Грогуль Арсеній Андрійович
Назимок Самсон Пилипович
Потебня Веніамін Адамович
Нодь Мірра Рубенівна
Жмайло Тімур Яківович
Дамян Елеонора Мойсеївна
Носков Марина Нісонівна
Криса Аліса Олександрівна
Шульгіна Ольга Галактіонівна
Кречун Ілля Адольфович
Кутепова Елеонора Мартінівна
Бутько Оскар Вікторович
Мендришора Юлія Микитівна
Лініченко Ілля Арсенійович
Маліванчук Опанас Геннадійович
Скрипак Олександра Олексіївна
Польченко Рубен Модестович
Лесь Вера Данилоівна
Кузьмук Вальтер Пилипович
Микал Никанор Ігорович
Шпеник Василь Клементович
Чубрей Степан Никанорович
Донченко Валентин Прохорович
Міроненко Таїра Геннадіївна
Карімов Віллі Прохорович
Мислик Француаза Вікторівна
Сердюк Леонард В'ячеславович
Шматенко Никанор Ілліч
Сомик Леонтій Вальтерович
Комаринський Сергій Арсенійович
Волянська Астра Самсонівна
Мотузко Степан Никанорович
Подрез Руслан Леонідович
Ходус Василь Болеславович
Лишенко Петро Леонтійович
Грушовий Максим Фаддейович
Вітренко Анфіса Миколівна
Зельман Ярема Мойсейович
Василько Аріна Осипівна
Мешков Євдокія В'ячеславівна
Куркін Тарас Андрійович
Гаманенко Берта Архипівна
Гапич Віталіна Едуардівна
Кінах Надія Віссаріонівна
Громак Кирило Георгійович
Долинний Віссаріон Кирилоович
Шмельов Антон Іванович
Солошенко Євдоким Єгорович
Шарафан Володимир Любомирович
Негрей Іван Володимирович
Стратулат Осип Парамонович
Рожанська Ліана Матвеївна
Катасонов Таїсія Федотівна
Безручко Семен Оскарович
Худяков Алла Адамівна
Ляхова Таїра Юріївна
Берегеля Ян Євгенійович
Баскевич Катерина Павлівна
Гузик Аристарх Савелійович
Галевич Леонард Микитович
Толкач Лазар Терентьєвович
Дубинець Адольф Лук'янович
Чорнобров Клим Зіновійович
Бігдан Ксенія Олексіївна
Виноград Лада Веніамінівна
Пасічна Капітоліна Борисівна
Конопля Антон Альбертович
Сенів Святослав Лазарович
Леус Карина Леонардівна
Савуляк Інокентій Едуардович
Махнюк Севастіан Давидович
Свірідова Лайма Гуріївна
Задесенець Анфіса Аркадіївна
Михайляк Савелій Юліанович
Россоха Євдокія Левівна
Лавринович Євгеній Рубенович
Гірняк Юліан Захарович
Галайда Леся Аристархівна
Гладищук Людмила Омелянівна
Пікінер Донат Романович
Прозапас Юрій Карлович
Майсак Єгор Макарович
Печена Юлія Сергіївна
Цуканов Аріадна Андріївна
Вінійчук Клавдія Валентинівна
Дуднікова Варвара Анатоліївна
Кірієнко Денис Людвігович
Чамор Ядвіга Геннадіївна
Монастирний Аркадій Матвейович
Устич Аврам Леонтійович
Мамонтова Аріадна Вілліівна
Олексієвець Мойсей Миколович
Дереш Давид Ігнатійович
Медяник Георгій Опанасович
Бердніков Мирослав Герасимович
Клак Валентина Євгеніївна
Солдатенко Нісон Вікторович
Матусевич Василь Валерійович
Країло Тихон Юліанович
Люльчак Омелян Левович
Ботезат Григорій Мирославович
Яківець Овідій Захарович
Пастушенко Парасковія Осипівна
Дубінчук Белла Орестівна
Решитов Інга Мечиславівна
Кузьмінський В'ячеслав Вольдемарович
Гераймович Захар Фаддейович
Форостяний Кузьма Арсенійович
Сивокінь Василіса Лук'янівна
Бобрівник Віктор Кирилоович
Цокур Клемент Прохорович
Кибенко Тетяна Адамівна
Чернікова Данута Костянтинівна
Табунщик Валентина Васильівна
Кізима Ірина Назарівна
Затхей Рубен Пилипович
Копич Тімур Ярославович
Таран Оксана Родіонівна
Пось Марфа Людвігівна
Касянова Тереза Омелянівна
Філонова Яна Тарасівна
Гусак Галактіон Аврамович
Джаман Мірра Йосипівна
Закорко Болеслав Маркович
Риндюк Василь Валерійович
Буртник Капітоліна Любомирівна
Старинець Опанас Аркадійович
Дехтяренко Фаїна Вольдемарівна
Чирук Олександр Пилипович
Воловик Лев Овідійович
Поярков Лазар Арсенійович
Гламазда Броніслава Корниліївна
Гвоздьова Парасковія Захарівна
Педько Леонід Кондратович
Асатрян Максиміліан Юліанович
Данільченко Гавриїл Денисович
Беседін Мартін Олександрович
Лупул Ванда Германівна
Кондратьєв Клара Валеріївна
Брик Мілена Климівна
Зборщик Герасим Вольдемарович
Курик Любов Федотівна
Миколаєнко Ян Вальтерович
Шуляр Гелла Ростиславівна
Логвін Анфіса Аристархівна
Трохимчук Ада Святославівна
Паращенко Михайло Максимович
Щудло Доміника Савеліївна
Скирта Юстина Артеміївна
Вашкевич Ясна Олексіївна
Ковч Белла Давидівна
Ящук Ясен Гаріович
Носаль Сусанна Леонардівна
Сириця Наум Галактіонович
Симонович Віталіна Глібівна
Василькова Роксана Васильівна
Сипко Нісон Гордейович
Матуляк Архип Євгенійович
Шалаєва Тереза Макарівна
Борсук Гліб Єгорович
Третьякова Аврора Рафаїлівна
Сосенко Тимофій Парамонович
Калиниченко Осип Євгенійович
Бензар Юхим Олександрович
Сарай Едуард Янович
Бак Іраклій Аркадійович
Троянська Ельза Порфиріївна
Кудінов Агнія Юріївна
Буза Валерія Рубенівна
Савчак Рафаїл Маркович
Маринченко Євгенія Зіновіївна
Кулік Аза Тімурівна
Бобошко Галактіон Юліанович
Бухта Поліна Прохорівна
Ротко Флора Семенівна
Нищик Людмила Богданівна
Карайван Ярема Ясенович
Пурдик Орест Миколович
Одінцов Матвей Геннадійович
Головченко Аристарх Юліанович
Стефанович Тімур Юрійович
Дегтяр Михайло Ігнатійович
Сидорак Клим Костянтинович
Базікало Валерія Аристархівна
Сироїд Орест Никанорович
Данильчук Борислава Аркадіївна
Каленченко Єва Фомівна
Демус Єва Денисівна
Постриган Ярослав Антонович
Маковський Мстислав Платонович
Лукянець Карл Ігнатійович
Зарубіна Олександра Галактіонівна
Волосянко Ростислав Федотович
Бібіков Людмила Германівна
Кацімон Артем Вадимович
Кармазін Агнеса Аврамівна
Клімчук Тереза Макарівна
Рашко Олесь Валерійович
Вишар Орися Марківна
Голіней Анатолій Федірович
Присяжнюк Парасковія Вітольдівна
Мірчева Устінья Болеславівна
Кіреєва Аліса Григоріївна
Бачок Ангеліна Костянтинівна
Підлужний Геннадій Любомирович
Росляков Ліана Валентинівна
Кравцов Трохим Петрович
Білоущенко Анатолій Володимирович
Крупельницька Ірина Порфиріївна
Сиволап Роберт Гордейович
Князюк Єлизавета Аристархівна
Барибіна Ніка Артемівна
Копищик Руслана Ігнатіївна
Шуляк Віллі Арнольдович
Сіщук Тимофій Володимирович
Тихонов Арсеній Георгійович
Овсіюк Самсон Мстиславович
Сивачук Юхим Прокофійович
Потурай Євгеній Макарович
Галянт Неллі Донатівна
Тупиця Святослава В'ячеславівна
Зуєнко Памфіл Данилоович
Бєлоусов Любов Орестівна
Бурлаку Беатріса Вікентіївна
Гуржій Альберт Ігнатійович
Попельнюк Орест Олегович
Устінова Доміника Гордеївна
Мочалова Роза Феліксівна
Поспєлов Альфред Адамович
Мокич Фаїна Євгеніївна
Миколенко Рудольф Вікторович
Брухаль Валентина Альфредівна
Мелещенко Сесілія Зіновіївна
Лозінський Броніслав Натанович
Чебану Адам Ростиславович
Вансович Севастіан Глібович
Галай Валентин Порфирійович
Катасонова Зоя Броніславівна
Черевичний Кузьма Ростиславович
Рудюк Нісон Вадимович
Долапчи Платон Назарович
Мілованов Мойсей Гордейович
Глєбов Галактіон Давидович
Молчан Ілля Павлович
Кричун Самуїл Матвейович
Мізерний Олег Омелянович
Григорєв Таїсія Петрівна
Походенко Пилип Самуїлович
Николишин Фаїна Мстиславівна
Нетреба Тереза Вітольдівна
Христиченко Степан Ісакович
Дутко Аріна Болеславівна
Свищук Василіса Парамонівна
Щуцька Руфіна Вікторівна
Вишнівська Лілія Пилипівна
Шишенко Родіон Васильович
Шакірова Таїсія Павлівна
Пеня Ельвіра Адамівна
Скаржинець Станіслав Мартінович
Степанко Гліб Рудольфович
Крикун Аркадій Сергійович
Масляник Ніла Никанорівна
Горун Лариса Альфредівна
Баєв Аніта Лук'янівна
Чернишук Юнона Аврамівна
Лобан Донат Климович
Смолр Вадим Павлович
Гериш Алевтина Олегівна
Осташ Ніна Тімурівна
Налбат Анатолій Пилипович
Невідомий Адріан Клементович
Гладир Сара Прохорівна
Отрошенко Модест Броніславович
Демочко Гордей Омелянович
Люманов Юхим Гордейович
Когут Рубен Вілліович
Князюк Памфіл Вікентійович
Бегей Мечислав Омелянович
Аверянов Ян Олександрович
Шастун Француаза Дмитроівна
Шкуренко Тетяна Адамівна
Грицуняк Ярема Ярославович
Нитка Регіна Прокофіївна
Московка Віолета Галактіонівна
Крот Мстислав Тарасович
Сало Іраїда Андріївна
Витвицький Памфіл Гордейович
Кустов Ельвіра Миколівна
Скубак Станіслав Парамонович
Савоста Карина Михайлоівна
Лютко Мечислав Самуїлович
Чмихало Олег Мойсейович
Запольський Вальтер Дональдович
Сичик Юлія Адольфівна
Леміш Олена Андріївна
Шарапов Венера Мирославівна
Шевякова Юлія Андріївна
Перчик Ісак Андрійович
Попсуй Володимир Сергійович
Гаюн Кузьма Артемович
Родін Михайло Самуїлович
Гершун Ісак Юрійович
Ковш Зінаїда Леонардівна
Подурець Орест Віталійович
Пипко Самуїл Любомирович
Юхно Раїса Наумівна
Бирченко Роман Кондратович
Кордюков Марина Валентинівна
Брайко Самсон Юліанович
Кондратов Флора Тимофіївна
Папазов Вальтер Адамович
Беник Герман Вальтерович
Саванчук Сергій Геннадійович
Касянюк Фома Тимофійович
Ляшук Яків Олександрович
Бурхан Ганна Мартінівна
Позігун Таїра Георгіївна
Пиріжок Тереза Мартінівна
Капустянський Овідій Юхимович
Гнесь Діана Левівна
Сябрук Трохим Янович
Борисюк Герасим Аврамович
Семен Таїра Федотівна
Поштар Рафаїл Іраклійович
Жигало Глорія Кузьмівна
Димчук Єлизавета Петрівна
Панкратьєва Глорія Тимофіївна
Пурій Вальтер Сергійович
Кобзарь Мірдза Натанівна
Лучин Герасим Артемович
Руснак Мойсей Альфредович
Бабкін Тихон Максиміліанович
Голубков Адріан Адольфович
Скорік Марія Терентьєвівна
Лісний Парамон Дмитрович
Майданик Данило Натанович
Гарасим Йосип Ростиславович
Грузд Гавриїл Ясенович
Колодницький Петро Кузьмович
Шинкарюк Ігор Прохорович
Буяновський Альфред Пилипович
Крупник Макар Прохорович
Шмирко Зінаїда Прокофіївна
Рєпка Раїса Карлівна
Винокуров Роберт Зіновійович
Совгиря Віктор Любомирович
Сурмач Леонард Глібович
Сенчак Римма Прокофіївна
Пахар Олена Вітольдівна
Сурмач Кондрат Едуардович
Кук Фелікс Наумович
Богута Данута Євдокимівна
Ветрова Марта Віталіївна
Куриляк Осип Вікторович
Драй Фаддей Любомирович
Талаш Яромир Овідійович
Ляшенко Артем Валентинович
Зазуля Святослав Альфредович
Прилипко Вальтер Михайлоович
Велько Гелена В'ячеславівна
Мойсеєв Борис Оскарович
Лясковець Артур Овідійович
Бобрицький Гліб Григорійович
Кадар Антон Семенович
Лихо Олексій Рафаїлович
Мудь Єгор Денисович
Захарець Інокентій Мартінович
Невойт Римма Родіонівна
Скальський Олексій Зіновійович
Михед Броніслава Артурівна
Терзіогло Ярослав Осипович
Сіньковський Ян Пилипович
Дутко Севастіан Майович
Коневич Євгеній Давидович
Делі Єлизавета Степанівна
Галайчук Руслан Володимирович
Сінченко Надія Григоріївна
Зорило Тарас Павлович
Дяконенко Варвара Дональдівна
Кирпань Сергій Памфілович
Пізнюр Філіппіна Костянтинівна
Гринюк Родіон Тарасович
Макарова Зінаїда Натанівна
Дробязко Бенедикт Янович
Чехович Глафіра Вікторівна
Сухомлін Броніслав Євдокимович
Колесник Леонард Лук'янович
Шакало Тереза Герасимівна
Косар Гелена Кузьмівна
Васьківський Макар Віталійович
Сулаков Сергій Вітольдович
Лиса Діана Мартінівна
Данильченко Анатолій Станіславович
Педан Геннадій Адріанович
Попроцький Гліб Бенедиктович
Бублій Омелян Святославович
Хвостик Рафаїл Карлович
Лейбюк Євгенія Гавриїлівна
Яшина Святослава Ігорівна
Лендел Віталій Рудольфович
Кудас Єва Галактіонівна
Шавкун Зінаїда Левівна
Звонарьова Неллі Тимофіївна
Штефюк Никанор Людвігович
Марчик Берта Робертівна
Свид Ніка Порфиріївна
Нетребко Гліб Севастіанович
Мальована Одарка Климівна
Заїм Семен Карлович
Тихонов Митрофан Зіновійович
Кисленко Аврам Парамонович
Ганчев Алла Велорівна
Курусь Фома Арсенійович
Романов Карл Павлович
Корольков Орест Геннадійович
Афанасєва Алла Прокофіївна
Сичик Тарас Ісакович
Балаклієць Захар Макарович
Грисюк Вітольд Никанорович
Ваш Ельдар Герасимович
Горяєва Броніслава Миколівна
Якушко В'ячеслав Святославович
Постоєнко Ельза Галактіонівна
Мустафаєва Веста Парамонівна
Севериненко Ігнатій Рудольфович
Годованик Володимир Арсенійович
Мірошніченко Єгор Ясенович
Машир Доля Модестівна
Берладін Філіппіна Фаддеївна
Палько Петро Федірович
Мацола Уляна Болеславівна
Краснюк Мойсей Терентьєвович
Дьолог Вадим Аристархович
Гуцал Юлій Арсенійович
Короленко Валентина Анатоліївна
Бадюк Галина Людвігівна
Мясоєдов Макар Олексійович
Яківчук Євдоким Юхимович
Лиска Іветта Корниліївна
Клімук Маргарита Гаріівна
Майстер Алевтина Русланівна
Дементій Артур Опанасович
Сорочак Юрій Єгорович
Рилова Регіна Опанасівна
Бортюк Ярина Мартінівна
Корейко Олеся Мартінівна
Філюк Інга Мстиславівна
Лісник Ясон Фомович
Пелешко Броніслав Сергійович
Дранко Болеслав Костянтинович
Рябич Зоя Матвеївна
Коренев Порфирій Олексійович
Щавінська Доля Юліївна
Копійка Маргарита Йосипівна
Більський Вікентій Кирилоович
Хільченко Сесілія Адріанівна
Винярська Єва Митрофанівна
Засаднюк Тарас Болеславович
Протас Вікентій Макарович
Шуліпа Тереза Федірівна
Тараканов Ярослав Захарович
Шапочка Зоя Трохимівна
Побіжан Аза Веніамінівна
Горячий Ігнатій Віталійович
Паляниця Рубен Кузьмович
Сафроняк Герман Альфредович
Цопа Вероніка Веніамінівна
Діхтяренко Платон Гавриїлович
Богачик Лазар Ясенович
Мацан Ольга Миронівна
Салюк Омелян Леонардович
Шитюк Донат Леонідович
Мелюх Броніслава Юріївна
Барабан Аріна Артурівна
Гурова Богдана Оскарівна
Лобова Кіра Артемівна
Варварюк Яромир Ростиславович
Павлюх Антон Донатович
Пікулик Леонтій Родіонович
Перевізник Тімур Кузьмович
Сітніков Герман Робертович
Долик Андрій Вольдемарович
Ланько Ніка Тарасівна
Томас Інара Лук'янівна
Літвинчук Назар Анатолійович
Хаджи Артем Семенович
Фадєєв Ілля Олексійович
Коломейко Руфіна Геннадіївна
Таровик Лук'ян В'ячеславович
Николайчук Богдан Іраклійович
Качур Порфирій В'ячеславович
Гноєвий Іван Янович
Писко Устінья Савеліївна
Волкодав Йосип Аристархович
Карлійчук Наталя Маївна
Греченко Сергій Нісонович
Панов Трохим Ілліч
Адамов Любомир Мстиславович
Гринько Аліса Артурівна
Кожанов Кондрат Альбертович
Вертій Терентьєв Ілліч
Профатило Тереза Олексіївна
Мидлик Віссаріон Макарович
Караченцев Кіра Дмитроівна
Кізюн Матвей Глібович
Первак Митрофан Данилоович
Артамонов Лазар Давидович
Дубович Сніжана Рафаїлівна
Душин Гелена Мстиславівна
Науменко Опанас Гаріович
Березніцький Станіслав Станіславович
Красник Віссаріон Артурович
Запорожченко Тимофій Аврамович
Агарков Володимир Едуардович
Латиш Ольга Лук'янівна
Дорохов Орися Прокофіївна
Маринець Олесь Борисович
Гонтар Арсеній Лазарович
Гудзик Сабіна Натанівна
Антошків Сара Глібівна
Ночовна Філіппіна Едуардівна
Кіяшко Гарі Ельдарович
Роменський Артем Петрович
Супрунчук Клара Платонівна
Капінос Стела Рафаїлівна
Параскевич Фелікс Аврамович
Борей Ісак Олександрович
Боровкова Уляна Вольдемарівна
Павлиш Руслана Ісаківна
Кривуля Карл Робертович
Лесік Едуард Артемійович
Кобзаренко Адріан Матвейович
Деренько Аврам Никанорович
Самолюк Йосип Леонтійович
Щепанська Фаїна Юріївна
Пасечник Серафіма Вадимівна
Кустол Ясен Олегович
Малаш Гордей Осипович
Ходько Федір Болеславович
Ковнір Богдан Інокентійович
Христофор Марта Артеміївна
Абдураімов Агнія Терентьєвівна
Йосифів Станіслав Рубенович
Кримський Лук'ян Юліанович
Шакула Аза Сергіївна
Катриченко Назар Родіонович
Савонюк Василь Святославович
Захаревич Вальтер Любомирович
Багрій Федот Мартінович
Піць Герман Никанорович
Кельбас Май Адамович
Бурк Артем Яремович
Наконечна Євгенія Віссаріонівна
Воронков Руслан Ігорович
Степуренко Ельдар Фаддейович
Гнідко Мирослав Ігнатійович
Беліков Гарі Андрійович
Романко Рафаїл Владиславович
Ротань Мойсей Болеславович
Шилова Нора Владиславівна
Криничний Пилип Валентинович
Косарева Карина Миколівна
Вудвуд Ніна Марківна
Кудринська Клавдія Матвеївна
Дяков Модест Яківович
Косолапова Варвара Анатоліївна
Булахов Неллі Ілляівна
Конопльов Віссаріон Вольдемарович
Семенюк Юлій Наумович
Боднарь Аліса Пилипівна
Сірош Богдан Наумович
Васькевич Глафіра Альбертівна
Козярук Павло Сергійович
Кирдан Олена Феліксівна
Байда Алла Сергіївна
Лазько Костянтин Ельдарович
Гойденко Максиміліан Юрійович
Тиводар Майя Веніамінівна
Водвуд Фаддей Фомович
Кавюк Ігнатій Валерійович
Величко Мстислав Овідійович
Домантович Семен Кузьмович
Шарун Натан Яромирович
Шворак Яромир Наумович
Дудаш Мірра Опанасівна
Шпиця Інеса Феліксівна
Висотенко Лев Матвейович
Харитоненко Омелян Трохимович
Плотнік Ніна Рафаїлівна
Чечуй Роман Арнольдович
Ляховенко Стефанія Мартінівна
Забудський Фелікс Гурійович
Долгов Рената Ілляівна
Рибась Віллі Омелянович
Булан Захар Федірович
Пачев Елеонора Глібівна
Грицаюк Максим Дмитрович
Насінник Самуїл Овідійович
Грегуль Майя Зіновіївна
Бенюк Яна Михайлоівна
Гулько Фелікс Лазарович
Даць Кузьма Борисович
Клочко Йосип Вальтерович
Книр Макар Гурійович
Олефір Яків Модестович
Рублевський Мстислав Фомович
Дехтяр Мстислав Гурійович
Лаврінець Іван Глібович
Мархай Григорій Захарович
Скорук Марія Рудольфівна
Риндя Ілля Леонтійович
Смеречинська Алевтина Артурівна
Білов Адріан Альбертович
Писанко Інга Юріївна
Козачок Самсон Семенович
Хандій Орест Андрійович
Бурян Галактіон Феліксович
Горлов Євдокія Памфілівна
Войтенко Май Герасимович
Півовар Марта Вікторівна
Берченко Євдоким Гаріович
Кролевець Захар Натанович
Куцевич Ясон Тимофійович
Батраков Євдоким Мстиславович
Момотенко Руслана Васильівна
Князевич Гертруда Геннадіївна
Салова Карина Йосипівна
Дідич Назар Леонтійович
Шилко Рудольф Іванович
Реутов Мирон Мстиславович
Кочержук Бенедикт Велорович
Геник Фелікс Ростиславович
Резник Нонна Олесьівна
Лукашик Альфред Кондратович
Дякун Андрій Ілліч
Бідний Вальтер Антонович
Тарабанчук Максим Петрович
Книшук Мирослав Адріанович
Чудновець Роберт Данилоович
Райковська Еріка Інокентіївна
Трусь Володимир Вікторович
Тислюк Федот Овідійович
Лозан Володимир Адріанович
Кокошко Антон Леонтійович
Толстов Віллі Ігнатійович
Жовтун Арсеній Опанасович
Ткач Георгій Валерійович
Гуля Омелян Яремович
Явдошенко Флора Самсонівна
Ганчев Кирило Янович
Сумченко Аркадій Антонович
Опалько Ростислав Кирилоович
Войціцька Броніслава Марківна
Данчук Варвара Кирилоівна
Гамза Варвара Артурівна
Маценко Станіслав Геннадійович
Гримайло Віктор Русланович
Абакумова Віталіна Севастіанівна
Вишневий Альберт Тімурович
Гуляєв Савелій Трохимович
Момотюк Богдан Петрович
Онойко Катерина Памфілівна
Давидчук Ельдар Климович
Цугуй Ясен Вілліович
Паценко Альберт Аркадійович
Стасюк Віллі Павлович
Сенюк Ігор Вікентійович
Полюганич Георгій Святославович
Кіндратюк Марк Кондратович
Павел Вальтер Аврамович
Циганюк Микита Оскарович
Матейко Герасим Євдокимович
Цабан Ілля Терентьєвович
Власенко Прохор Памфілович
Ященко Ярема Кондратович
Омелечко Назар Вальтерович
Черней Іларіон Архипович
Калиш Олександр Вольдемарович
Нестерук Борислава Андріївна
Трофименко Фаїна Любомирівна
Нечитайло Клемент Карлович
Кундій Максиміліан Омелянович
Королевич Василіса Людвігівна
Дузенко Француаза Маївна
Небесна Анжела Фаддеївна
Мовчанюк Гарі Парамонович
Польовик Ярема Мстиславович
Патлатюк Ярема Аристархович
Ломачинський Савелій Вікторович
Черкай Галактіон Никанорович
Цирулик Терентьєв Веніамінович
Юсенко Вітольд Памфілович
Вавренюк Софія Омелянівна
Демидчук Віталій Самуїлович
Шаль Віолета Гордеївна
Барчук Май Дональдович
Чубар Натан Велорович
Лупашку Савелій Арсенійович
Барсук Рудольф Донатович
Басок Юнона Германівна
Налапко Венера Марківна
Сєров Неллі Юліївна
Барилко Юрій Арсенійович
Лужанський Марк Прокофійович
Беженар Аліна Володимирівна
Барбаш Анатолій Нісонович
Чепур Ілля Леонтійович
Жарова Гелла Адамівна
Сукманюк Ельвіра Оскарівна
Нетудихатка Діана Леонідівна
Морський Рубен Корнилійович
Куровська Михайлина Ісаківна
Микитів Федір Гаріович
Семерик Лариса Любомирівна
Мазняк Ясен Гаріович
Хоменчук Бенедикт Юліанович
Гелич Альберт Рубенович
Ушкало Любомир Пилипович
Каневський Май Антонович
Журавко Памфіл Русланович
Катеринюк Олексій Русланович
Хандога Астра Гуріївна
Данилюк Таїсія Владиславівна
Скачко Михайлина Миколівна
Бориславський Павло Клементович
Смертенюк Глафіра Герасимівна
Закусіло Арсеній Платонович
Голик Ясна Петрівна
Вєтров Веста Мечиславівна
Шатковська Іраїда Володимирівна
Цімох Натан Володимирович
Талан Берта Людвігівна
Дімітров Анатолій Альбертович
Бриль Гарі Левович
Замотайло Ганна Романівна
Білякова Агнеса Вадимівна
Жолоб Євдокія Овідіївна
Стеба Клавдія Любомирівна
Зайченко Петро Петрович
Настащук Агнія Федірівна
Кучай В'ячеслав Йосипович
Барнич Яків Зіновійович
Чижук Ядвіга Ігнатіївна
Цилюрик Давид Севастіанович
Гречин Іветта Адріанівна
Гайдамащук Леонард Фомович
Поросюк Регіна Аркадіївна
Телюк Тарас Захарович
Зімич Іван Валентинович
Денис Борислава Едуардівна
Лавріненко Клавдія Мирославівна
Бокоч Ясна Георгіївна
Дерюга Лілія Рудольфівна
Чамор Флора Фомівна
Касюк Роман Тімурович
Головацький Бенедикт Альфредович
Волович Микола Корнилійович
Соломон Генрієта Самуїлівна
Тиндик Ірина Ісаківна
Петльований Євдоким Арсенійович
Кутенко Мирон Дональдович
Легкун Ілля Володимирович
Муртазаєва Гелла Тимофіївна
Авілова Жанна Мартінівна
Ханін Руслан Віссаріонович
Бригадир Юстина Арнольдівна
Демнчук Ліана Іларіонівна
Моісєєв Самсон Порфирійович
Гараніна Варвара Порфиріївна
Улановська Борислава Станіславівна
Удовіченко Альберт Олексійович
Шостацька Ядвіга Ігорівна
Юзвяк Олександр Гордейович
Добролежа Регіна Юліївна
Йолкіна Сара Петрівна
Мєдвєдєв Веніамін Вальтерович
Радько Михайлина Парамонівна
Бабушкін Вольдемар Вальтерович
Ребенок Уляна Геннадіївна
Швец Леонард Кирилоович
Бідненко Тамара Йосипівна
Граматік Ян Артемович
Пожога Вера Вальтерівна
Абажер Венера Юліанівна
Ковтунець Клемент Семенович
Шалаєва Аза Бенедиктівна
Прокопів Овідій Вілліович
Атрошенко Леонард Ігнатійович
Сутула Уляна Гаріівна
Щуров Одарка Святославівна
Віценко Маргарита В'ячеславівна
Макар Роман Іраклійович
Дунас Зінаїда Владиславівна
Онішко Альбіна Євдокимівна
Гаврих Агнеса Германівна
Барсук Капітоліна Аврамівна
Гамар Анатолій Аркадійович
Логачов Вальтер Трохимович
Вергелюк Арсеній Тихонович
Маліченко Адріан Федірович
Лобань Ельза Наумівна
Бухтіярова Беатріса Кузьмівна
